1845.0,19.58,30.09
1846.0,19.6,45.15
1847.0,19.61,49.15
1848.0,11.99,39.52
1849.0,28.04,21.23
1850.0,58.0,8.42
1851.0,74.6,5.56
1852.0,75.09,5.08
1853.0,88.48,10.17
1854.0,61.28,19.6
1855.0,74.67,32.91
1856.0,88.06,34.38
1857.0,68.51,29.59
1858.0,32.19,21.3
1859.0,12.64,13.69
1860.0,21.49,7.65
1861.0,30.35,4.08
1862.0,2.18,4.09
1863.0,152.65,14.33
1864.0,148.36,38.22
1865.0,85.81,60.78
1866.0,41.41,70.77
1867.0,14.75,72.77
1868.0,2.28,42.68
1869.0,5.91,16.39
1870.0,9.95,9.83
1871.0,10.44,5.8
1872.0,70.64,5.26
1873.0,50.12,18.91
1874.0,50.13,30.95
1875.0,101.25,31.18
1876.0,97.12,46.34
1877.0,86.51,45.77
1878.0,72.17,44.15
1879.0,38.32,36.33
1880.0,10.11,12.03
1881.0,7.74,12.6
1882.0,9.67,18.34
1883.0,43.12,35.14
1884.0,52.21,43.77
1885.0,134.85,65.69
1886.0,134.86,79.35
1887.0,103.79,51.65
1888.0,46.1,32.59
1889.0,15.03,22.45
1890.0,24.2,16.16
1891.0,41.65,14.12
1892.0,52.34,20.38
1893.0,53.78,33.33
1894.0,70.4,46.0
1895.0,85.81,51.41
1896.0,56.69,46.43
1897.0,16.59,33.68
1898.0,6.16,18.01
1899.0,2.3,8.86
1900.0,12.82,7.13
1901.0,4.72,9.47
1902.0,4.73,14.86
1903.0,37.22,31.47
1904.0,69.72,60.57
1905.0,57.78,63.51
1906.0,28.68,54.7
1907.0,23.37,6.3
1908.0,21.54,3.41
1909.0,26.34,5.44
1910.0,53.1,11.65
1911.0,68.48,20.35
1912.0,75.58,32.88
1913.0,57.92,39.55
1914.0,40.97,43.36
1915.0,24.95,40.83
1916.0,12.59,30.36
1917.0,4.97,17.18
1918.0,4.5,6.82
1919.0,11.21,3.19
1920.0,56.6,3.52
1921.0,69.63,9.94
1922.0,77.74,20.3
1923.0,80.53,31.99
1924.0,73.38,42.36
1925.0,36.93,49.08
1926.0,4.64,53.99
1927.0,2.54,52.25
1928.0,1.8,37.7
1929.0,2.39,19.14
1930.0,4.23,6.98
1931.0,19.52,8.31
1932.0,82.11,16.01
1933.0,89.76,24.82
1934.0,81.66,29.7
1935.0,15.76,35.4
